"MEASURE","Household Composition","NPRD","Number of Persons Usually Resident","STATE","State","REGIONTYPE","Region Type","REGION","LGA 2011","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10050","Albury (C)","A","Annual","2011","2011",18617,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10110","Armidale Dumaresq (A)","A","Annual","2011","2011",8589,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10150","Ashfield (A)","A","Annual","2011","2011",15296,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10200","Auburn (C)","A","Annual","2011","2011",22080,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10250","Ballina (A)","A","Annual","2011","2011",15596,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10300","Balranald (A)","A","Annual","2011","2011",828,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10350","Bankstown (C)","A","Annual","2011","2011",57238,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10470","Bathurst Regional (A)","A","Annual","2011","2011",13654,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10550","Bega Valley (A)","A","Annual","2011","2011",12674,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10600","Bellingen (A)","A","Annual","2011","2011",5009,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10650","Berrigan (A)","A","Annual","2011","2011",3248,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10750","Blacktown (C)","A","Annual","2011","2011",93656,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10800","Bland (A)","A","Annual","2011","2011",2263,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10850","Blayney (A)","A","Annual","2011","2011",2551,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10900","Blue Mountains (C)","A","Annual","2011","2011",28031,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","10950","Bogan (A)","A","Annual","2011","2011",1049,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11000","Bombala (A)","A","Annual","2011","2011",1005,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11050","Boorowa (A)","A","Annual","2011","2011",966,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11100","Botany Bay (C)","A","Annual","2011","2011",14119,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11150","Bourke (A)","A","Annual","2011","2011",940,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11200","Brewarrina (A)","A","Annual","2011","2011",575,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11250","Broken Hill (C)","A","Annual","2011","2011",7437,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11300","Burwood (A)","A","Annual","2011","2011",10728,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11350","Byron (A)","A","Annual","2011","2011",11198,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11400","Cabonne (A)","A","Annual","2011","2011",4706,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11450","Camden (A)","A","Annual","2011","2011",17875,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11500","Campbelltown (C)","A","Annual","2011","2011",47286,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11520","Canada Bay (A)","A","Annual","2011","2011",28016,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11550","Canterbury (C)","A","Annual","2011","2011",45928,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11600","Carrathool (A)","A","Annual","2011","2011",985,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11700","Central Darling (A)","A","Annual","2011","2011",739,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11720","Cessnock (C)","A","Annual","2011","2011",18229,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11730","Clarence Valley (A)","A","Annual","2011","2011",19257,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11750","Cobar (A)","A","Annual","2011","2011",1721,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11800","Coffs Harbour (C)","A","Annual","2011","2011",26075,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","11860","Conargo (A)","A","Annual","2011","2011",548,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12000","Coolamon (A)","A","Annual","2011","2011",1488,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12050","Cooma-Monaro (A)","A","Annual","2011","2011",3828,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12150","Coonamble (A)","A","Annual","2011","2011",1537,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12200","Cootamundra (A)","A","Annual","2011","2011",2953,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12300","Corowa Shire (A)","A","Annual","2011","2011",4408,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12350","Cowra (A)","A","Annual","2011","2011",4742,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12500","Deniliquin (A)","A","Annual","2011","2011",2914,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12600","Dubbo (C)","A","Annual","2011","2011",14039,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12700","Dungog (A)","A","Annual","2011","2011",3117,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12750","Eurobodalla (A)","A","Annual","2011","2011",14336,,
